Unnamed: 0,composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
148,Li7 La3 Zr2 O12,3.1e-07,-6.508638306,0.67,246816.cif,26.85,"Nature Communications, 10, 5260 (2019)"
407,Li6 P1 S5 I0.5 Br0.5,2.97e-05,-4.527243551,0.31318,Li6PS5I0.50Br0.50_n.cif,25.0,10.1021/jacs.7b06327
178,Li7 Ge3 P1 S12,0.00011,-3.958607315,0.259,258187.cif,25.0,https://doi.org/10.1039/D2EE03499A
352,Li4 Sn1 Se2 S2,3.34e-05,-4.476253533,0.487491338,Li4SnS2Se2.cif,25.0,Nicolo Minafra
380,Li6 P1 Se1 S4 Br1,0.003468372,-2.459874328,0.34205,Li6PS4SeBr.cif,25.0,10.1021/acs.inorgchem.8b02443
266,Li7 P1 N4,1.6e-07,-6.795880017,0.4,69017.cif,25.0,https://doi.org/10.1039/D2EE03499A
193,Li1.4 Al0.4 Ge1.6 P3 O12,0.000188,-3.725842151,0.407,263762.cif,25.0,https://doi.org/10.1039/D2EE03499A
150,Li4 P2 O7,1e-10,-10.0,1.617,248414.cif,25.0,https://doi.org/10.1039/D2EE03499A
11,Li3.2 Sn0.2 Sb0.8 S4,2.93e-06,-5.53313238,0.43411,020Sn.cif,25.0,"Bianca Helm, paper in preparation"
343,Li3 Y1 Br6,0.001391502,-2.856516165,0.459255324,Li3YBr6_mechanochemical.cif,25.0,10.1021/acs.chemmater.0c04352
131,Li6.6 Si1 P1 O8,1.48e-07,-6.829738285,0.49,238601.cif,25.0,https://doi.org/10.1039/D2EE03499A
