Unnamed: 0,composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
273,Li2 V1 Cl4,6.95e-06,-5.158015195,,74959.cif,25.0,https://doi.org/10.1039/D2EE03499A
379,Li6 P1 Se2 S3 I1,5.5e-05,-4.259637311,0.339566301,Li6PS3Se2I.cif,25.0,10.1021/acsaem.9b01794
45,Sr1 Li6 La2 Bi2 O12,5.2e-05,-4.283996656,0.43,158373.cif,26.85,https://doi.org/10.1039/D2EE03499A
2,Li3.05 Sn0.05 Sb0.95 S4,3.65e-09,-8.437707136,0.68074,005Sn.cif,25.0,"Bianca Helm, paper in preparation"
215,Li1 Si2 N3,6.17e-08,-7.209714836,0.64,34118.cif,25.0,https://doi.org/10.1039/D2EE03499A
141,Li1 Y1 B4 H16,1.26e-06,-5.899629455,,239762.cif,25.0,https://doi.org/10.1039/D2EE03499A
424,Li6.4 Si0.4 P0.6 S5 I1,0.00063831,-3.194968352,0.222838088,LSPSI_X040.cif,25.0,10.1021/acs.chemmater.9b01857
59,Li5 La3 Nb2 O12,1e-05,-5.0,0.43,171171.cif,25.0,https://doi.org/10.1039/D2EE03499A
174,Li1 Al0.5 Ga0.5 Ge1 O4,1e-10,-10.0,1.06,257740.cif,25.0,https://doi.org/10.1039/D2EE03499A
97,Li1 B1 O2,1e-08,-8.0,0.71,200891.cif,25.0,https://doi.org/10.1039/D2EE03499A
167,Li3.5 Zn0.5 Ga0.5 P2 O8,1e-10,-10.0,1.02,255468.cif,25.0,https://doi.org/10.1039/D2EE03499A
